Document # 	 Predicted Label 	 Actual Label
	1		 | 		pos		 | 		pos
	2		 | 		neg		 | 		pos
	3		 | 		pos		 | 		pos
	4		 | 		pos		 | 		pos
	5		 | 		neg		 | 		pos
	6		 | 		pos		 | 		pos
	7		 | 		pos		 | 		pos
	8		 | 		neg		 | 		pos
	9		 | 		pos		 | 		pos
	10		 | 		pos		 | 		pos
	11		 | 		neg		 | 		pos
	12		 | 		pos		 | 		pos
	13		 | 		pos		 | 		pos
	14		 | 		pos		 | 		pos
	15		 | 		pos		 | 		pos
	16		 | 		neg		 | 		pos
	17		 | 		pos		 | 		pos
	18		 | 		pos		 | 		pos
	19		 | 		pos		 | 		pos
	20		 | 		neg		 | 		pos
	21		 | 		pos		 | 		pos
	22		 | 		pos		 | 		pos
	23		 | 		pos		 | 		pos
	24		 | 		pos		 | 		pos
	25		 | 		pos		 | 		pos
	26		 | 		pos		 | 		pos
	27		 | 		pos		 | 		pos
	28		 | 		pos		 | 		pos
	29		 | 		pos		 | 		pos
	30		 | 		neg		 | 		pos
	31		 | 		pos		 | 		pos
	32		 | 		pos		 | 		pos
	33		 | 		pos		 | 		pos
	34		 | 		neg		 | 		pos
	35		 | 		pos		 | 		pos
	36		 | 		pos		 | 		pos
	37		 | 		pos		 | 		pos
	38		 | 		pos		 | 		pos
	39		 | 		pos		 | 		pos
	40		 | 		pos		 | 		pos
	41		 | 		pos		 | 		pos
	42		 | 		pos		 | 		pos
	43		 | 		pos		 | 		pos
	44		 | 		pos		 | 		pos
	45		 | 		pos		 | 		pos
	46		 | 		neg		 | 		pos
	47		 | 		pos		 | 		pos
	48		 | 		pos		 | 		pos
	49		 | 		neg		 | 		pos
	50		 | 		pos		 | 		pos
	51		 | 		pos		 | 		pos
	52		 | 		pos		 | 		pos
	53		 | 		neg		 | 		pos
	54		 | 		pos		 | 		pos
	55		 | 		neg		 | 		pos
	56		 | 		neg		 | 		pos
	57		 | 		pos		 | 		pos
	58		 | 		neg		 | 		pos
	59		 | 		neg		 | 		pos
	60		 | 		pos		 | 		pos
	61		 | 		neg		 | 		pos
	62		 | 		pos		 | 		pos
	63		 | 		neg		 | 		pos
	64		 | 		neg		 | 		pos
	65		 | 		pos		 | 		pos
	66		 | 		neg		 | 		pos
	67		 | 		neg		 | 		pos
	68		 | 		neg		 | 		pos
	69		 | 		neg		 | 		pos
	70		 | 		pos		 | 		pos
	71		 | 		pos		 | 		pos
	72		 | 		pos		 | 		pos
	73		 | 		pos		 | 		pos
	74		 | 		neg		 | 		pos
	75		 | 		pos		 | 		pos
	76		 | 		pos		 | 		pos
	77		 | 		pos		 | 		pos
	78		 | 		neg		 | 		pos
	79		 | 		neg		 | 		pos
	80		 | 		pos		 | 		pos
	81		 | 		pos		 | 		pos
	82		 | 		pos		 | 		pos
	83		 | 		pos		 | 		pos
	84		 | 		pos		 | 		pos
	85		 | 		pos		 | 		pos
	86		 | 		pos		 | 		pos
	87		 | 		neg		 | 		pos
	88		 | 		pos		 | 		pos
	89		 | 		pos		 | 		pos
	90		 | 		neg		 | 		pos
	91		 | 		pos		 | 		pos
	92		 | 		pos		 | 		pos
	93		 | 		pos		 | 		pos
	94		 | 		pos		 | 		pos
	95		 | 		pos		 | 		pos
	96		 | 		pos		 | 		pos
	97		 | 		pos		 | 		pos
	98		 | 		pos		 | 		pos
	99		 | 		pos		 | 		pos
	100		 | 		neg		 | 		pos
	101		 | 		pos		 | 		pos
	102		 | 		pos		 | 		pos
	103		 | 		pos		 | 		pos
	104		 | 		pos		 | 		pos
	105		 | 		pos		 | 		pos
	106		 | 		pos		 | 		pos
	107		 | 		pos		 | 		pos
	108		 | 		pos		 | 		pos
	109		 | 		pos		 | 		pos
	110		 | 		pos		 | 		pos
	111		 | 		neg		 | 		pos
	112		 | 		pos		 | 		pos
	113		 | 		pos		 | 		pos
	114		 | 		pos		 | 		pos
	115		 | 		neg		 | 		pos
	116		 | 		pos		 | 		pos
	117		 | 		neg		 | 		pos
	118		 | 		pos		 | 		pos
	119		 | 		pos		 | 		pos
	120		 | 		pos		 | 		pos
	121		 | 		pos		 | 		pos
	122		 | 		pos		 | 		pos
	123		 | 		neg		 | 		pos
	124		 | 		pos		 | 		pos
	125		 | 		pos		 | 		pos
	126		 | 		pos		 | 		pos
	127		 | 		neg		 | 		pos
	128		 | 		pos		 | 		pos
	129		 | 		pos		 | 		pos
	130		 | 		pos		 | 		pos
	131		 | 		pos		 | 		pos
	132		 | 		pos		 | 		pos
	133		 | 		pos		 | 		pos
	134		 | 		pos		 | 		pos
	135		 | 		pos		 | 		pos
	136		 | 		pos		 | 		pos
	137		 | 		pos		 | 		pos
	138		 | 		pos		 | 		pos
	139		 | 		pos		 | 		pos
	140		 | 		pos		 | 		pos
	141		 | 		pos		 | 		pos
	142		 | 		pos		 | 		pos
	143		 | 		pos		 | 		pos
	144		 | 		neg		 | 		pos
	145		 | 		neg		 | 		pos
	146		 | 		neg		 | 		pos
	147		 | 		pos		 | 		pos
	148		 | 		pos		 | 		pos
	149		 | 		pos		 | 		pos
	150		 | 		pos		 | 		pos
	151		 | 		pos		 | 		pos
	152		 | 		neg		 | 		pos
	153		 | 		neg		 | 		pos
	154		 | 		neg		 | 		pos
	155		 | 		pos		 | 		pos
	156		 | 		pos		 | 		pos
	157		 | 		neg		 | 		pos
	158		 | 		pos		 | 		pos
	159		 | 		neg		 | 		pos
	160		 | 		neg		 | 		pos
	161		 | 		pos		 | 		pos
	162		 | 		pos		 | 		pos
	163		 | 		pos		 | 		pos
	164		 | 		neg		 | 		pos
	165		 | 		neg		 | 		pos
	166		 | 		pos		 | 		pos
	167		 | 		pos		 | 		pos
	168		 | 		pos		 | 		pos
	169		 | 		pos		 | 		pos
	170		 | 		pos		 | 		pos
	171		 | 		pos		 | 		pos
	172		 | 		neg		 | 		pos
	173		 | 		pos		 | 		pos
	174		 | 		pos		 | 		pos
	175		 | 		pos		 | 		pos
	176		 | 		neg		 | 		pos
	177		 | 		neg		 | 		pos
	178		 | 		neg		 | 		pos
	179		 | 		pos		 | 		pos
	180		 | 		pos		 | 		pos
	181		 | 		pos		 | 		pos
	182		 | 		neg		 | 		pos
	183		 | 		pos		 | 		pos
	184		 | 		pos		 | 		pos
	185		 | 		neg		 | 		pos
	186		 | 		pos		 | 		pos
	187		 | 		pos		 | 		pos
	188		 | 		pos		 | 		pos
	189		 | 		pos		 | 		pos
	190		 | 		pos		 | 		pos
	191		 | 		pos		 | 		pos
	192		 | 		pos		 | 		pos
	193		 | 		neg		 | 		pos
	194		 | 		pos		 | 		pos
	195		 | 		neg		 | 		pos
	196		 | 		pos		 | 		pos
	197		 | 		neg		 | 		pos
	198		 | 		pos		 | 		pos
	199		 | 		pos		 | 		pos
	200		 | 		pos		 | 		pos
	201		 | 		neg		 | 		pos
	202		 | 		pos		 | 		pos
	203		 | 		pos		 | 		pos
	204		 | 		neg		 | 		pos
	205		 | 		neg		 | 		pos
	206		 | 		pos		 | 		pos
	207		 | 		pos		 | 		pos
	208		 | 		pos		 | 		pos
	209		 | 		pos		 | 		pos
	210		 | 		neg		 | 		pos
	211		 | 		pos		 | 		pos
	212		 | 		pos		 | 		pos
	213		 | 		neg		 | 		pos
	214		 | 		neg		 | 		pos
	215		 | 		pos		 | 		pos
	216		 | 		pos		 | 		pos
	217		 | 		pos		 | 		pos
	218		 | 		pos		 | 		pos
	219		 | 		neg		 | 		pos
	220		 | 		pos		 | 		pos
	221		 | 		pos		 | 		pos
	222		 | 		neg		 | 		pos
	223		 | 		neg		 | 		pos
	224		 | 		pos		 | 		pos
	225		 | 		pos		 | 		pos
	226		 | 		pos		 | 		pos
	227		 | 		pos		 | 		pos
	228		 | 		neg		 | 		pos
	229		 | 		neg		 | 		pos
	230		 | 		neg		 | 		pos
	231		 | 		pos		 | 		pos
	232		 | 		pos		 | 		pos
	233		 | 		pos		 | 		pos
	234		 | 		pos		 | 		pos
	235		 | 		pos		 | 		pos
	236		 | 		pos		 | 		pos
	237		 | 		pos		 | 		pos
	238		 | 		neg		 | 		pos
	239		 | 		pos		 | 		pos
	240		 | 		pos		 | 		pos
	241		 | 		pos		 | 		pos
	242		 | 		pos		 | 		pos
	243		 | 		pos		 | 		pos
	244		 | 		pos		 | 		pos
	245		 | 		pos		 | 		pos
	246		 | 		pos		 | 		pos
	247		 | 		neg		 | 		pos
	248		 | 		pos		 | 		pos
	249		 | 		pos		 | 		pos
	250		 | 		pos		 | 		pos
	251		 | 		pos		 | 		pos
	252		 | 		pos		 | 		pos
	253		 | 		pos		 | 		pos
	254		 | 		pos		 | 		pos
	255		 | 		pos		 | 		pos
	256		 | 		neg		 | 		pos
	257		 | 		pos		 | 		pos
	258		 | 		neg		 | 		pos
	259		 | 		neg		 | 		pos
	260		 | 		pos		 | 		pos
	261		 | 		neg		 | 		pos
	262		 | 		pos		 | 		pos
	263		 | 		pos		 | 		pos
	264		 | 		pos		 | 		pos
	265		 | 		pos		 | 		pos
	266		 | 		pos		 | 		pos
	267		 | 		pos		 | 		pos
	268		 | 		pos		 | 		pos
	269		 | 		pos		 | 		pos
	270		 | 		pos		 | 		pos
	271		 | 		pos		 | 		pos
	272		 | 		pos		 | 		pos
	273		 | 		pos		 | 		pos
	274		 | 		pos		 | 		pos
	275		 | 		pos		 | 		pos
	276		 | 		neg		 | 		pos
	277		 | 		neg		 | 		pos
	278		 | 		pos		 | 		pos
	279		 | 		pos		 | 		pos
	280		 | 		pos		 | 		pos
	281		 | 		pos		 | 		pos
	282		 | 		pos		 | 		pos
	283		 | 		pos		 | 		pos
	284		 | 		pos		 | 		pos
	285		 | 		pos		 | 		pos
	286		 | 		pos		 | 		pos
	287		 | 		pos		 | 		pos
	288		 | 		pos		 | 		pos
	289		 | 		neg		 | 		pos
	290		 | 		pos		 | 		pos
	291		 | 		pos		 | 		pos
	292		 | 		pos		 | 		pos
	293		 | 		pos		 | 		pos
	294		 | 		pos		 | 		pos
	295		 | 		pos		 | 		pos
	296		 | 		pos		 | 		pos
	297		 | 		neg		 | 		pos
	298		 | 		neg		 | 		pos
	299		 | 		pos		 | 		pos
	300		 | 		pos		 | 		pos
	301		 | 		pos		 | 		pos
	302		 | 		pos		 | 		pos
	303		 | 		pos		 | 		pos
	304		 | 		pos		 | 		pos
	305		 | 		pos		 | 		pos
	306		 | 		neg		 | 		pos
	307		 | 		pos		 | 		pos
	308		 | 		pos		 | 		pos
	309		 | 		pos		 | 		pos
	310		 | 		pos		 | 		pos
	311		 | 		pos		 | 		pos
	312		 | 		pos		 | 		pos
	313		 | 		pos		 | 		pos
	314		 | 		pos		 | 		pos
	315		 | 		pos		 | 		pos
	316		 | 		pos		 | 		pos
	317		 | 		pos		 | 		pos
	318		 | 		pos		 | 		pos
	319		 | 		pos		 | 		pos
	320		 | 		pos		 | 		pos
	321		 | 		pos		 | 		pos
	322		 | 		neg		 | 		pos
	323		 | 		pos		 | 		pos
	324		 | 		pos		 | 		pos
	325		 | 		neg		 | 		pos
	326		 | 		pos		 | 		pos
	327		 | 		pos		 | 		pos
	328		 | 		pos		 | 		pos
	329		 | 		pos		 | 		pos
	330		 | 		pos		 | 		pos
	331		 | 		pos		 | 		pos
	332		 | 		pos		 | 		pos
	333		 | 		pos		 | 		pos
	334		 | 		pos		 | 		pos
	335		 | 		pos		 | 		pos
	336		 | 		pos		 | 		pos
	337		 | 		neg		 | 		pos
	338		 | 		pos		 | 		pos
	339		 | 		pos		 | 		pos
	340		 | 		pos		 | 		pos
	341		 | 		pos		 | 		pos
	342		 | 		neg		 | 		pos
	343		 | 		pos		 | 		pos
	344		 | 		pos		 | 		pos
	345		 | 		pos		 | 		pos
	346		 | 		pos		 | 		pos
	347		 | 		pos		 | 		pos
	348		 | 		pos		 | 		pos
	349		 | 		pos		 | 		pos
	350		 | 		pos		 | 		pos
	351		 | 		pos		 | 		pos
	352		 | 		neg		 | 		pos
	353		 | 		pos		 | 		pos
	354		 | 		neg		 | 		pos
	355		 | 		pos		 | 		pos
	356		 | 		pos		 | 		pos
	357		 | 		pos		 | 		pos
	358		 | 		pos		 | 		pos
	359		 | 		pos		 | 		pos
	360		 | 		pos		 | 		pos
	361		 | 		pos		 | 		pos
	362		 | 		neg		 | 		pos
	363		 | 		pos		 | 		pos
	364		 | 		pos		 | 		pos
	365		 | 		pos		 | 		pos
	366		 | 		pos		 | 		pos
	367		 | 		neg		 | 		pos
	368		 | 		pos		 | 		pos
	369		 | 		pos		 | 		pos
	370		 | 		neg		 | 		pos
	371		 | 		pos		 | 		pos
	372		 | 		pos		 | 		pos
	373		 | 		pos		 | 		pos
	374		 | 		pos		 | 		pos
	375		 | 		pos		 | 		pos
	376		 | 		pos		 | 		pos
	377		 | 		pos		 | 		pos
	378		 | 		pos		 | 		pos
	379		 | 		pos		 | 		pos
	380		 | 		pos		 | 		pos
	381		 | 		pos		 | 		pos
	382		 | 		neg		 | 		pos
	383		 | 		pos		 | 		pos
	384		 | 		neg		 | 		pos
	385		 | 		neg		 | 		pos
	386		 | 		pos		 | 		pos
	387		 | 		pos		 | 		pos
	388		 | 		neg		 | 		pos
	389		 | 		pos		 | 		pos
	390		 | 		pos		 | 		pos
	391		 | 		neg		 | 		pos
	392		 | 		pos		 | 		pos
	393		 | 		neg		 | 		pos
	394		 | 		pos		 | 		pos
	395		 | 		pos		 | 		pos
	396		 | 		pos		 | 		pos
	397		 | 		pos		 | 		pos
	398		 | 		pos		 | 		pos
	399		 | 		pos		 | 		pos
	400		 | 		pos		 | 		pos
	401		 | 		neg		 | 		pos
	402		 | 		neg		 | 		pos
	403		 | 		pos		 | 		pos
	404		 | 		pos		 | 		pos
	405		 | 		neg		 | 		pos
	406		 | 		pos		 | 		pos
	407		 | 		pos		 | 		pos
	408		 | 		pos		 | 		pos
	409		 | 		pos		 | 		pos
	410		 | 		pos		 | 		pos
	411		 | 		pos		 | 		pos
	412		 | 		neg		 | 		pos
	413		 | 		pos		 | 		pos
	414		 | 		pos		 | 		pos
	415		 | 		pos		 | 		pos
	416		 | 		pos		 | 		pos
	417		 | 		pos		 | 		pos
	418		 | 		pos		 | 		pos
	419		 | 		pos		 | 		pos
	420		 | 		pos		 | 		pos
	421		 | 		pos		 | 		pos
	422		 | 		pos		 | 		pos
	423		 | 		pos		 | 		pos
	424		 | 		neg		 | 		pos
	425		 | 		neg		 | 		pos
	426		 | 		pos		 | 		pos
	427		 | 		pos		 | 		pos
	428		 | 		pos		 | 		pos
	429		 | 		pos		 | 		pos
	430		 | 		pos		 | 		pos
	431		 | 		pos		 | 		pos
	432		 | 		neg		 | 		pos
	433		 | 		neg		 | 		pos
	434		 | 		pos		 | 		pos
	435		 | 		pos		 | 		pos
	436		 | 		pos		 | 		pos
	437		 | 		pos		 | 		pos
	438		 | 		pos		 | 		pos
	439		 | 		pos		 | 		pos
	440		 | 		pos		 | 		pos
	441		 | 		neg		 | 		pos
	442		 | 		neg		 | 		pos
	443		 | 		neg		 | 		pos
	444		 | 		pos		 | 		pos
	445		 | 		neg		 | 		pos
	446		 | 		pos		 | 		pos
	447		 | 		neg		 | 		pos
	448		 | 		pos		 | 		pos
	449		 | 		pos		 | 		pos
	450		 | 		pos		 | 		pos
	451		 | 		pos		 | 		pos
	452		 | 		pos		 | 		pos
	453		 | 		pos		 | 		pos
	454		 | 		pos		 | 		pos
	455		 | 		pos		 | 		pos
	456		 | 		neg		 | 		pos
	457		 | 		pos		 | 		pos
	458		 | 		pos		 | 		pos
	459		 | 		pos		 | 		pos
	460		 | 		pos		 | 		pos
	461		 | 		pos		 | 		pos
	462		 | 		neg		 | 		pos
	463		 | 		pos		 | 		pos
	464		 | 		pos		 | 		pos
	465		 | 		pos		 | 		pos
	466		 | 		pos		 | 		pos
	467		 | 		pos		 | 		pos
	468		 | 		pos		 | 		pos
	469		 | 		pos		 | 		pos
	470		 | 		pos		 | 		pos
	471		 | 		pos		 | 		pos
	472		 | 		pos		 | 		pos
	473		 | 		neg		 | 		pos
	474		 | 		neg		 | 		pos
	475		 | 		pos		 | 		pos
	476		 | 		neg		 | 		pos
	477		 | 		pos		 | 		pos
	478		 | 		pos		 | 		pos
	479		 | 		pos		 | 		pos
	480		 | 		neg		 | 		pos
	481		 | 		pos		 | 		pos
	482		 | 		pos		 | 		pos
	483		 | 		pos		 | 		pos
	484		 | 		neg		 | 		pos
	485		 | 		pos		 | 		pos
	486		 | 		neg		 | 		pos
	487		 | 		pos		 | 		pos
	488		 | 		neg		 | 		pos
	489		 | 		pos		 | 		pos
	490		 | 		pos		 | 		pos
	491		 | 		neg		 | 		pos
	492		 | 		pos		 | 		pos
